id,value
www.annualconference.ku.ac.th,3
158.108.101.4,1
www.office.eco.ku.ac.th,2
live.ku.th,1
grader.eng.src.ku.ac.th,12
kbs.bus.ku.ac.th,4
www.flas.kps.ku.ac.th,13
www.t-fern.forest.ku.ac.th,2
158.108.203.7,6
forest.ku.ac.th,10
158.108.50.16,1
envi.ku.ac.th,4
www.vehicle.ku.ac.th,5
halalinfo.ifrpd.ku.ac.th,31
thaiagris.lib.ku.ac.th,7
158.108.220.17,1
www.lit.human.ku.ac.th,1
oamc.ku.ac.th,2
158.108.97.10,1
as9411.http.sasm3.net,2
158.108.80.14,3
kupresident13.ku.ac.th,4
mgt.bus.ku.ac.th,9
wata.eng.ku.ac.th,4
158.108.215.153,1
158.108.51.126,1
cpeg.cpe.ku.ac.th,3
158.108.68.25,3
esd.psd.kps.ku.ac.th,3
sa.ku.ac.th,17
158.108.250.182,2
www.sbc.ku.ac.th,3
marketing.bus.ku.ac.th,3
digitallib.vit.src.ku.ac.th,1
www.satitkasetip.kus.ku.ac.th,1
158.108.110.120,1
158.108.14.135,1
tcf.human.ku.ac.th,2
rilc.ku.ac.th,1
www.soiltest-ku.agr.ku.ac.th,2
ensp.human.ku.ac.th,1
sa.sa.ku.ac.th,2
158.108.68.27,24
www.itiche2015.eng.ku.ac.th,3
icdc.eto.ku.ac.th,1
158.108.219.69,1
www.vthh.vet.ku.ac.th,11
office.eco.ku.ac.th,5
www.ocs.ku.ac.th,1
158.108.220.30,1
secretary.eng.ku.ac.th,4
ca.ku.ac.th,5
satitapp.kus.ku.ac.th,4
158.108.220.61,1
iicrd.ku.ac.th,1
www.cab.ku.ac.th,8
civil.eng.kps.ku.ac.th,1
agri.eco.ku.ac.th,3
ase.eng.ku.ac.th,29
regweb.registrar.ku.ac.th,1
www.sw.sa.ku.ac.th,1
www.emp.eng.ku.ac.th,1
www.silvic.forest.ku.ac.th,1
grad.ku.ac.th,1
www.co-op.psd.ku.ac.th,2
autonomy.ku.ac.th,1
course.ku.ac.th,2
feedbase.fish.ku.ac.th,1
rdipt.ku.ac.th,1
phd-econ.eco.ku.ac.th,5
acc5bangkok2015.kasetsart.org,1
kapi.ku.ac.th,7
nontrigames.kus.ku.ac.th,1
chem.flas.kps.ku.ac.th,12
it.cab.kps.ku.ac.th,2
www.biodiesel.rdi.ku.ac.th,4
aginc.lib.ku.ac.th,7
158.108.215.138,1
acc3d.ku.ac.th,1
www.emediacenter.edu.ku.ac.th,6
158.108.196.40,14
wt.eng.ku.ac.th,13
peanut-crsp.kapi.ku.ac.th,1
158.108.219.179,1
158.108.196.21,1
www.ku-press.ku.ac.th,4
minimba.bus.ku.ac.th,2
www.ae.eng.kps.ku.ac.th,3
cst.eng.ku.ac.th,2
www.kasetsart.org,1
www.thefabtech.com,1
dbs.csc.ku.ac.th,1
quota.forest.ku.ac.th,4
master-coop.eco.ku.ac.th,1
portal.lib.ku.ac.th,9
www.kus.kps.ku.ac.th,45
www.doed.edu.ku.ac.th,1
www.planning.ku.ac.th,1
fic.ifrpd.ku.ac.th,3
access.cs.sci.ku.ac.th,2
tm.human.ku.ac.th,3
kasetsartjnatsci.kasetsart.org,5
www.iregis.registrar.ku.ac.th,2
ie.eng.ku.ac.th,5
smart.ku.ac.th,1
www.ku-sall.human.ku.ac.th,2
158.108.55.248,12
158.108.102.14,1
158.108.120.11,2
158.108.219.6,1
isad.csc.ku.ac.th,2
acct.bus.ku.ac.th,24
www.eduserv.ku.ac.th,4
eve.eng.ku.ac.th,2
src.ku.ac.th,10
mba.csc.ku.ac.th,1
www.finance.ku.ac.th,2
confucius.human.ku.ac.th,2
158.108.95.18,1
158.108.4.246,1
cit.kps.ku.ac.th,1
biochemistry.sci.ku.ac.th,15
academicservice.human.ku.ac.th,3
accounts.ku.ac.th,1
www.zoo.sci.ku.ac.th,1
vth.kps.ku.ac.th,43
vit.src.ku.ac.th,3
www.sbai.agro.ku.ac.th,1
cpc.ku.ac.th,1
158.108.219.124,1
fscieng.csc.ku.ac.th,1
www.polsci.flas.kps.ku.ac.th,2
bio.flas.kps.ku.ac.th,2
micro.flas.kps.ku.ac.th,5
emediacenter.edu.ku.ac.th,3
chem.sci.ku.ac.th,26
ded.edu.kps.ku.ac.th,10
zmirror.,2
158.108.219.38,1
158.108.4.251,2
eoffice.src.ku.ac.th,1
www.agext.agri.kps.ku.ac.th,1
posaa.kapi.ku.ac.th,2
158.108.80.34,1
www.cpe.ku.ac.th,2
www.rpttc.flas.kps.ku.ac.th,1
kimba.ku.ac.th,1
www.oamc.ku.ac.th,1
www.av.eto.ku.ac.th,2
ku-iged.psd.ku.ac.th,2
doed.edu.ku.ac.th,1
158.108.80.25,1
158.108.44.242,1
158.108.25.11,1
158.108.25.13,1
158.108.99.27,1
ku-work.ku.ac.th,5
158.108.32.60,2
158.108.80.5,5
158.108.80.12,1
158.108.80.23,1
158.108.80.36,1
158.108.80.37,1
158.108.194.5,1
158.108.101.2,1
158.108.194.28,1
158.108.81.16,1
158.108.81.72,1
agron.agri.kps.ku.ac.th,37
158.108.4.227,1
158.108.4.241,1
158.108.51.125,2
doipui.aerdi.ku.ac.th,1
hrpp.ku.ac.th,1
programming.cpe.ku.ac.th,1
sqa.eco.ku.ac.th,2
158.108.104.17,1
sasd.psd.kps.ku.ac.th,1
158.108.196.37,1
158.108.196.61,1
www.che.eng.ku.ac.th,1
sd.grad.ku.ac.th,1
158.108.219.150,1
158.108.110.4,1
158.108.110.25,1
158.108.110.33,1
158.108.110.34,1
158.108.110.52,1
158.108.110.90,1
158.108.110.105,1
www.webportal.ku.ac.th,1
www.property.ku.ac.th,2
158.108.110.129,1
158.108.110.205,3
158.108.110.128,1
qa.csc.ku.ac.th,1
158.108.200.18,1
158.108.81.17,3
www.conference.forest.ku.ac.th,1
construction.eng.ku.ac.th,1
www.sfst.agr.ku.ac.th,1
edus.soc.ku.ac.th,1
hcrd.edu.kps.ku.ac.th,1
www.geneng.grad.ku.ac.th,2
158.108.205.3,1
ofs.soc.ku.ac.th,1
hort.ku.ac.th,4
pe.eng.ku.ac.th,1
lit.human.ku.ac.th,1
158.108.96.14,1
eeec.eng.ku.ac.th,1
www.vth.vet.ku.ac.th,1
sp-regis.ku.ac.th,1
mp.kus.ku.ac.th,1
ogrf.grad.ku.ac.th,1
frc.forest.ku.ac.th,3
agro.ku.ac.th,1
158.108.110.35,2
sbc.ku.ac.th,1
158.108.97.8,1
newgrad.sa.ku.ac.th,2
www.eto.kps.ku.ac.th,3
